region;year;peat_type;peat_deg
north;2029;4;-2.69054016017506
north;2030;4;-2.69190696017505
north;2031;4;-2.69327376017506
north;2032;4;-2.68925376017506
north;2033;4;-2.68523376017506
north;2034;4;-2.68121376017506
north;2035;4;-2.67719376017506
north;2036;4;-2.67317376017506
north;2037;4;-2.66915376017506
north;2038;4;-2.66513376017505
north;2039;4;-2.66111376017506
north;2040;4;-2.65709376017506
north;2041;4;-2.65307376017506
north;2042;4;-2.64656136017506
north;2043;4;-2.64004896017506
north;2044;4;-2.63353656017506
north;2045;4;-2.62702416017506
north;2046;4;-2.62051176017506
north;2047;4;-2.61399936017506
north;2048;4;-2.60748696017506
north;2049;4;-2.60097456017506
north;2050;4;-2.59446216017506
north;1990;6;-1.46243577792376
north;1991;6;-1.43224176142198
north;1992;6;-1.44274775589655
north;1993;6;-1.39172634180776
north;1994;6;-1.39053744768562
north;1995;6;-1.41600887951483
north;1996;6;-1.42561659212591
north;1997;6;-1.42569526233094
north;1998;6;-1.46938623651939
north;1999;6;-1.48972483969336
north;2000;6;-1.50668858102575
north;2001;6;-1.5486574630917
north;2002;6;-1.54830687019506
north;2003;6;-1.5912844638703
north;2004;6;-1.6031314663902
north;2005;6;-1.65053588028088
north;2006;6;-1.72647010275213
north;2007;6;-1.77943720892949
north;2008;6;-1.79172530047063
north;2009;6;-1.80798504212218
north;2010;6;-1.83436789720197
north;2011;6;-1.87440403035255
north;2012;6;-1.90575520659988
north;2013;6;-1.94744936094687
north;2014;6;-1.96481218018032
north;2015;6;-1.98265404292354
north;2016;6;-2.02378189844402
north;2017;6;-2.0308604481018
north;2018;6;-2.06303562832928
north;2019;6;-2.06056706703827
north;2020;6;-2.10540012870791
north;2021;6;-2.15126594427352
north;2022;6;-2.2104243398028
north;2023;6;-2.2191879398028
north;2024;6;-2.2279515398028
north;2025;6;-2.2367151398028
north;2026;6;-2.2454787398028
north;2027;6;-2.2486947398028
north;2028;6;-2.2519107398028
north;2029;6;-2.2551267398028
north;2030;6;-2.2583427398028
north;2031;6;-2.2615587398028
north;2032;6;-2.2650963398028
north;2033;6;-2.2686339398028
north;2034;6;-2.2721715398028
north;2035;6;-2.2757091398028
north;2036;6;-2.2792467398028
north;2037;6;-2.2827843398028
north;2038;6;-2.2863219398028
north;2039;6;-2.2898595398028
north;2040;6;-2.2933971398028
north;2041;6;-2.2969347398028
north;2042;6;-2.2983819398028
north;2043;6;-2.2998291398028
north;2044;6;-2.3012763398028
north;2045;6;-2.3027235398028
north;2046;6;-2.3041707398028
north;2047;6;-2.3056179398028
north;2048;6;-2.3070651398028
north;2049;6;-2.3085123398028
north;2050;6;-2.3099595398028
north;1990;7;-1.70576875628228
north;1991;7;-1.66170233559787
north;1992;7;-1.65592234955814
north;1993;7;-1.58926263334089
north;1994;7;-1.57166174220865
north;1995;7;-1.58134816662955
north;1996;7;-1.56950622646978
north;1997;7;-1.54976368335638
north;1998;7;-1.56831126395363
north;1999;7;-1.56853362457884
north;2000;7;-1.56947658817704
north;2001;7;-1.59445831048334
north;2002;7;-1.57667957060597
north;2003;7;-1.62045336828621
north;2004;7;-1.63858579821216
north;2005;7;-1.68610058841951
north;2006;7;-1.77352238040114
north;2007;7;-1.83537359753414
north;2008;7;-1.85416517244976
north;2009;7;-1.87436724576703
north;2010;7;-1.90928417540433
north;2011;7;-1.93854117472792
north;2012;7;-1.96823224821235
north;2013;7;-2.00569896941741
north;2014;7;-2.0182567603718
north;2015;7;-2.03284868244831
north;2016;7;-2.06544596225669
north;2017;7;-2.0720632294906
north;2018;7;-2.10275087790722
north;2019;7;-2.10019140618076
north;2020;7;-2.13967756333281
north;2021;7;-2.18262030990984
north;2022;7;-2.23253231570067
north;2023;7;-2.23920551570067
north;2024;7;-2.24587871570067
north;2025;7;-2.25255191570067
north;2026;7;-2.25922511570067
north;2027;7;-2.26493351570067
north;2028;7;-2.27064191570067
north;2029;7;-2.27635031570067
north;2030;7;-2.28205871570067
north;2031;7;-2.28776711570067
north;2032;7;-2.29351571570067
north;2033;7;-2.29926431570067
north;2034;7;-2.30501291570067
north;2035;7;-2.31076151570067
north;2036;7;-2.31651011570067
north;2037;7;-2.32225871570067
north;2038;7;-2.32800731570067
north;2039;7;-2.33375591570067
north;2040;7;-2.33950451570067
north;2041;7;-2.34525311570067
north;2042;7;-2.35196651570067
north;2043;7;-2.35867991570067
north;2044;7;-2.36539331570067
north;2045;7;-2.37210671570067
north;2046;7;-2.37882011570067
north;2047;7;-2.38553351570067
north;2048;7;-2.39224691570067
north;2049;7;-2.39896031570067
north;2050;7;-2.40567371570067
south;1990;1;-4.18110481797864
south;1991;1;-4.16556038366735
south;1992;1;-4.18959910513689
south;1993;1;-4.14288567102734
south;1994;1;-4.14710155489667
south;1995;1;-4.1809636917897
south;1996;1;-4.18336747857458
south;1997;1;-4.18418400552028
south;1998;1;-4.20796577627487
south;1999;1;-4.22840417270165
south;2000;1;-4.23849194546247
south;2001;1;-4.27513534737112
south;2002;1;-4.27071649508138
south;2003;1;-4.29016973684981
south;2004;1;-4.29997242918114
south;2005;1;-4.31748835557056
south;2006;1;-4.39551774036791
south;2007;1;-4.43626780263592
south;2008;1;-4.45221914917292
south;2009;1;-4.4597662387991
south;2010;1;-4.49036168987075
south;2011;1;-4.522129887439
south;2012;1;-4.54323128575107
south;2013;1;-4.56685912550157
south;2014;1;-4.57456949017576
south;2015;1;-4.57885897504903
south;2016;1;-4.60212042899761
south;2017;1;-4.62243493663951
south;2018;1;-4.6601641449799
south;2019;1;-4.66293429307667
south;2020;1;-4.71147301523878
south;2021;1;-4.76341369492601
south;2022;1;-4.79595675795932
south;2023;1;-4.79169555795932
south;2024;1;-4.78743435795932
south;2025;1;-4.78317315795932
south;2026;1;-4.77891195795932
south;2027;1;-4.77859035795932
south;2028;1;-4.77826875795932
south;2029;1;-4.77794715795932
south;2030;1;-4.77762555795932
south;2031;1;-4.77730395795932
south;2032;1;-4.77838935795932
south;2033;1;-4.77947475795932
south;2034;1;-4.78056015795932
south;2035;1;-4.78164555795932
south;2036;1;-4.78273095795932
south;2037;1;-4.78381635795932
south;2038;1;-4.78490175795932
south;2039;1;-4.78598715795932
south;2040;1;-4.78707255795932
south;2041;1;-4.78815795795932
south;2042;1;-4.79173575795932
south;2043;1;-4.79531355795932
south;2044;1;-4.79889135795932
south;2045;1;-4.80246915795932
south;2046;1;-4.80604695795932
south;2047;1;-4.80962475795932
south;2048;1;-4.81320255795932
south;2049;1;-4.81678035795932
south;2050;1;-4.82035815795932
south;1990;2;-3.98503906906593
south;1991;2;-3.96418272945465
south;1992;2;-3.98321926419283
south;1993;2;-3.9321928202122
south;1994;2;-3.93176777060387
south;1995;2;-3.96070847853527
south;1996;2;-3.95912672987785
south;1997;2;-3.9557915716456
south;1998;2;-3.97643928805348
south;1999;2;-3.99703629270308
south;2000;2;-4.00811394339968
south;2001;2;-4.04562612710023
south;2002;2;-4.04208071061487
south;2003;2;-4.06343940523041
south;2004;2;-4.0735684228549
south;2005;2;-4.09310204239831
south;2006;2;-4.17170482510624
south;2007;2;-4.2126247024631
south;2008;2;-4.22793804782577
south;2009;2;-4.23554830988198
south;2010;2;-4.26564754621311
south;2011;2;-4.29386015318485
south;2012;2;-4.31474169042617
south;2013;2;-4.33848917532238
south;2014;2;-4.34526245943268
south;2015;2;-4.34915435202372
south;2016;2;-4.37174719951248
south;2017;2;-4.38772866766621
south;2018;2;-4.4217638558627
south;2019;2;-4.42079597137592
south;2020;2;-4.4656246267555
south;2021;2;-4.5137957448634
south;2022;2;-4.54411301325993
south;2023;2;-4.53752021325993
south;2024;2;-4.53092741325993
south;2025;2;-4.52433461325993
south;2026;2;-4.51774181325993
south;2027;2;-4.50938021325993
south;2028;2;-4.50101861325993
south;2029;2;-4.49265701325993
south;2030;2;-4.48429541325993
south;2031;2;-4.47593381325993
south;2032;2;-4.46616521325993
south;2033;2;-4.45639661325993
south;2034;2;-4.44662801325993
south;2035;2;-4.43685941325993
south;2036;2;-4.42709081325993
south;2037;2;-4.41732221325993
south;2038;2;-4.40755361325993
south;2039;2;-4.39778501325993
south;2040;2;-4.38801641325993
south;2041;2;-4.37824781325993
south;2042;2;-4.37350421325993
south;2043;2;-4.36876061325993
south;2044;2;-4.36401701325993
south;2045;2;-4.35927341325993
south;2046;2;-4.35452981325993
south;2047;2;-4.34978621325993
south;2048;2;-4.34504261325993
south;2049;2;-4.34029901325993
south;2050;2;-4.33555541325993
south;1990;4;-3.0200466926143
south;1991;4;-3.00696245770482
south;1992;4;-3.03328112965301
south;1993;4;-2.9909106990876
south;1994;4;-2.99864790342691
south;1995;4;-3.03486013935052
south;1996;4;-3.04204972453882
south;1997;4;-3.0479131755053
south;1998;4;-3.07871444837869
south;1999;4;-3.09843344550112
south;2000;4;-3.11109235600009
south;2001;4;-3.14948443836174
south;2002;4;-3.14727216839385
south;2003;4;-3.17195363889134
south;2004;4;-3.18286258407667
south;2005;4;-3.20553652528064
south;2006;4;-3.28450618322583
south;2007;4;-3.32970389198809
south;2008;4;-3.3478846505536
south;2009;4;-3.35978261497469
south;2010;4;-3.39311717306814
south;2011;4;-3.42496399252581
south;2012;4;-3.44312801393228
south;2013;4;-3.4650404039098
south;2014;4;-3.46864114158695
south;2015;4;-3.46949607966666
south;2016;4;-3.48855482170262
south;2017;4;-3.49888478946567
south;2018;4;-3.52859041820853
south;2019;4;-3.52380038910883
south;2020;4;-3.56390339287341
south;2021;4;-3.60798457711196
south;2022;4;-3.64281358061001
south;2023;4;-3.64064278061001
south;2024;4;-3.63847198061001
south;2025;4;-3.63630118061001
south;2026;4;-3.63413038061001
south;2027;4;-3.62520598061001
south;2028;4;-3.61628158061001
south;2029;4;-3.60735718061001
south;2030;4;-3.59843278061001
south;2031;4;-3.58950838061001
south;2032;4;-3.57845338061001
south;2033;4;-3.56739838061001
south;2034;4;-3.55634338061001
south;2035;4;-3.54528838061001
south;2036;4;-3.53423338061001
south;2037;4;-3.52317838061001
south;2038;4;-3.51212338061001
south;2039;4;-3.50106838061001
south;2040;4;-3.49001338061001
south;2041;4;-3.47895838061001
south;2042;4;-3.47192338061001
south;2043;4;-3.46488838061001
south;2044;4;-3.45785338061001
south;2045;4;-3.45081838061001
south;2046;4;-3.44378338061001
south;2047;4;-3.43674838061001
south;2048;4;-3.42971338061001
south;2049;4;-3.42267838061001
south;2050;4;-3.41564338061001
south;1990;6;-2.48971117725244
south;1991;6;-2.47513036529608
south;1992;6;-2.49985323884925
south;1993;6;-2.45655373338324
south;1994;6;-2.4626238823917
south;1995;6;-2.49720683527753
south;1996;6;-2.50258687441802
south;1997;6;-2.50723731953841
south;1998;6;-2.53639690415665
south;1999;6;-2.55870461127659
south;2000;6;-2.57439695586459
south;2001;6;-2.61560585265371
south;2002;6;-2.61683397481708
south;2003;6;-2.64484886471399
south;2004;6;-2.65880169877255
south;2005;6;-2.68486093041937
south;2006;6;-2.76657566165827
south;2007;6;-2.80855062150911
south;2008;6;-2.82361567787108
south;2009;6;-2.83267487617255
south;2010;6;-2.86261292046221
south;2011;6;-2.89562150302645
south;2012;6;-2.9251114994748
south;2013;6;-2.95896618256446
south;2014;6;-2.97421199250412
south;2015;6;-2.98676257285201
south;2016;6;-3.01731079737025
south;2017;6;-3.03221553404635
south;2018;6;-3.06635788488251
south;2019;6;-3.06645487450368
south;2020;6;-3.11074259581581
south;2021;6;-3.15887293542543
south;2022;6;-3.20140107014827
south;2023;6;-3.20710947014827
south;2024;6;-3.21281787014827
south;2025;6;-3.21852627014827
south;2026;6;-3.22423467014827
south;2027;6;-3.21989307014827
south;2028;6;-3.21555147014827
south;2029;6;-3.21120987014826
south;2030;6;-3.20686827014827
south;2031;6;-3.20252667014827
south;2032;6;-3.20284827014827
south;2033;6;-3.20316987014827
south;2034;6;-3.20349147014827
south;2035;6;-3.20381307014827
south;2036;6;-3.20413467014827
south;2037;6;-3.20445627014827
south;2038;6;-3.20477787014827
south;2039;6;-3.20509947014827
south;2040;6;-3.20542107014827
south;2041;6;-3.20574267014827
south;2042;6;-3.20755167014826
south;2043;6;-3.20936067014827
south;2044;6;-3.21116967014827
south;2045;6;-3.21297867014827
south;2046;6;-3.21478767014827
south;2047;6;-3.21659667014826
south;2048;6;-3.21840567014827
south;2049;6;-3.22021467014827
south;2050;6;-3.22202367014827
south;1990;7;-2.1840409305795
south;1991;7;-2.15640197749008
south;1992;7;-2.16819656302758
south;1993;7;-2.11385974512033
south;1994;7;-2.10801583706512
south;1995;7;-2.12926643124433
south;1996;7;-2.12306183905295
south;1997;7;-2.1171984990106
south;1998;7;-2.13457153514601
south;1999;7;-2.15026019708914
south;2000;7;-2.16122470577846
south;2001;7;-2.19730594558675
south;2002;7;-2.19560665206559
south;2003;7;-2.22083705609214
south;2004;7;-2.23030444794435
south;2005;7;-2.2524780112349
south;2006;7;-2.32913425007093
south;2007;7;-2.3805065409754
south;2008;7;-2.40400980016769
south;2009;7;-2.42197794083872
south;2010;7;-2.45928509936752
south;2011;7;-2.49993460700723
south;2012;7;-2.53196887540317
south;2013;7;-2.56940126340294
south;2014;7;-2.58834847552221
south;2015;7;-2.60357395595341
south;2016;7;-2.63633139128456
south;2017;7;-2.65389158501125
south;2018;7;-2.6911402733444
south;2019;7;-2.69520379230041
south;2020;7;-2.74146436285866
south;2021;7;-2.79254021110673
south;2022;7;-2.83829632789642
south;2023;7;-2.84681872789642
south;2024;7;-2.85534112789642
south;2025;7;-2.86386352789642
south;2026;7;-2.87238592789642
south;2027;7;-2.88106912789642
south;2028;7;-2.88975232789642
south;2029;7;-2.89843552789642
south;2030;7;-2.90711872789642
south;2031;7;-2.91580192789642
south;2032;7;-2.92597252789642
south;2033;7;-2.93614312789642
south;2034;7;-2.94631372789642
south;2035;7;-2.95648432789642
south;2036;7;-2.96665492789642
south;2037;7;-2.97682552789642
south;2038;7;-2.98699612789642
south;2039;7;-2.99716672789642
south;2040;7;-3.00733732789642
south;2041;7;-3.01750792789642
south;2042;7;-3.02197012789642
south;2043;7;-3.02643232789642
south;2044;7;-3.03089452789642
south;2045;7;-3.03535672789642
south;2046;7;-3.03981892789642
south;2047;7;-3.04428112789642
south;2048;7;-3.04874332789642
south;2049;7;-3.05320552789642
south;2050;7;-3.05766772789642
