region;peat_type;year;EF_drained_peatland
north;7;2029;-0.835825474501536
north;1;2030;-1.00345010104436
north;2;2030;-1.26069112620744
north;4;2030;0.0920358445173646
north;6;2030;-0.0201189202227257
north;7;2030;-0.836487005705346
north;1;2031;-1.01074707524814
north;2;2031;-1.26486982618758
north;4;2031;0.0923195020164154
north;6;2031;-0.0214270433256751
north;7;2031;-0.839079395978545
north;1;2032;-1.01902784105993
north;2;2032;-1.26880122826107
north;4;2032;0.08834099739394
north;6;2032;-0.0237010992298297
north;7;2032;-0.84196668175884
north;1;2033;-1.02633420172608
north;2;2033;-1.27175822518891
north;4;2033;0.0853368979171059
north;6;2033;-0.0250007499883442
north;7;2033;-0.843879562393504
north;1;2034;-1.03268407734359
north;2;2034;-1.27375873706812
north;4;2034;0.0832892834889254
north;6;2034;-0.0253439156982052
north;7;2034;-0.844835957979505
north;1;2035;-1.03882526187059
north;2;2035;-1.27555055785681
north;4;2035;0.0814503601512397
north;6;2035;-0.0254783903175699
north;7;2035;-0.84558366247502
north;1;2036;-1.04602845274065
north;2;2036;-1.27840438498856
north;4;2036;0.0785494304705088
north;6;2036;-0.0266748712799814
north;7;2036;-0.847393373313581
north;1;2037;-1.05174411122861
north;2;2037;-1.27977067973822
north;4;2037;0.0771360331718607
north;6;2037;-0.026383819860309
north;7;2037;-0.847715551770049
north;1;2038;-1.05739078758063
north;2;2038;-1.28106799235193
north;4;2038;0.0757916180091724
north;6;2038;-0.0260237863046875
north;7;2038;-0.847968748090568
north;1;2039;-1.0649895790912
north;2;2039;-1.2843174201242
north;4;2039;0.0724950876879089
north;6;2039;-0.0276158679076213
north;7;2039;-0.850174059569651
north;1;2040;-1.07270817439164
north;2;2040;-1.28768665168634
north;4;2040;0.0690787535767869
north;6;2040;-0.0293277533004228
north;7;2040;-0.852499174838603
north;1;2041;-1.07788615458877
north;2;2041;-1.28851526814516
north;4;2041;0.0682030345689837
north;6;2041;-0.0284990235899074
north;7;2041;-0.852283675004227
north;1;2042;-1.07717358120231
north;2;2042;-1.28943007142036
north;4;2042;0.065116846506978
north;6;2042;-0.0291257692708222
north;7;2042;-0.853348178809632
north;1;2043;-1.07620958790435
north;2;2043;-1.29009345478407
north;4;2043;0.062282078356477
north;6;2043;-0.0295010950402426
north;7;2043;-0.854161262703543
north;1;2044;-1.07522152282597
north;2;2044;-1.29073276636736
north;4;2044;0.0594713819864028
north;6;2044;-0.0298523490292375
north;7;2044;-0.854950274817017
north;1;2045;-1.07242940084661
north;2;2045;-1.28956802104966
north;4;2045;0.0584647425172986
north;6;2045;-0.0283995461172513
north;7;2045;-0.853935230029531
north;1;2046;-1.07143488742894
north;2;2046;-1.29020088429365
north;4;2046;0.0556604944865104
north;6;2046;-0.0287443517669499
north;7;2046;-0.85471779380373
north;1;2047;-1.07135006243211
north;2;2047;-1.29174343595849
north;4;2047;0.0519465580348841
north;6;2047;-0.029998845837496
north;7;2047;-0.856410045998756
north;1;2048;-1.07165952823008
north;2;2048;-1.29368027841812
north;4;2048;0.0478383307884496
north;6;2048;-0.0316476307028406
north;7;2048;-0.85849658898859
north;1;2049;-1.07120419575492
north;2;2049;-1.29485232260463
north;4;2049;0.0444949018151508
north;6;2049;-0.0325316172950587
north;7;2049;-0.859818333705299
north;1;2050;-1.06834329972719
north;2;2050;-1.29361880323858
north;4;2050;0.0435570363944153
north;6;2050;-0.0310100403347153
north;7;2050;-0.858734514869435
south;1;1990;-0.752617718585925
