maakunta;tkg;species;component;year;bm;ala
1;2;3;6;2020;2.10556383601;NA
1;2;3;6;2021;2.10556383601;NA
1;2;3;7;2015;8.32280661251891;NA
1;2;3;7;2016;8.32280661251891;84.6444378812969
1;2;3;7;2017;8.32280661251891;NA
1;2;3;7;2018;8.32280661251891;NA
1;2;3;7;2019;8.32280661251891;NA
1;2;3;7;2020;8.32280661251891;NA
1;2;3;7;2021;8.32280661251891;NA
1;4;1;1;2015;55.5886814364331;NA
1;4;1;1;2016;55.5886814364331;38.1770815408476
1;4;1;1;2017;55.5886814364331;NA
1;4;1;1;2018;55.5886814364331;NA
1;4;1;1;2019;55.5886814364331;NA
1;4;1;1;2020;55.5886814364331;NA
1;4;1;1;2021;55.5886814364331;NA
1;4;1;2;2015;4.05833067586725;NA
1;4;1;2;2016;4.05833067586725;38.1770815408476
1;4;1;2;2017;4.05833067586725;NA
1;4;1;2;2018;4.05833067586725;NA
1;4;1;2;2019;4.05833067586725;NA
1;4;1;2;2020;4.05833067586725;NA
1;4;1;2;2021;4.05833067586725;NA
1;4;1;3;2015;7.84834574328369;NA
1;4;1;3;2016;7.84834574328369;38.1770815408476
1;4;1;3;2017;7.84834574328369;NA
1;4;1;3;2018;7.84834574328369;NA
1;4;1;3;2019;7.84834574328369;NA
1;4;1;3;2020;7.84834574328369;NA
1;4;1;3;2021;7.84834574328369;NA
1;4;1;4;2015;2.79924784724478;NA
1;4;1;4;2016;2.79924784724478;38.1770815408476
1;4;1;4;2017;2.79924784724478;NA
1;4;1;4;2018;2.79924784724478;NA
1;4;1;4;2019;2.79924784724478;NA
1;4;1;4;2020;2.79924784724478;NA
1;4;1;4;2021;2.79924784724478;NA
1;4;1;5;2015;2.10606326517317;NA
1;4;1;5;2016;2.10606326517317;38.1770815408476
1;4;1;5;2017;2.10606326517317;NA
1;4;1;5;2018;2.10606326517317;NA
1;4;1;5;2019;2.10606326517317;NA
1;4;1;5;2020;2.10606326517317;NA
1;4;1;5;2021;2.10606326517317;NA
1;4;1;6;2015;4.52402214672957;NA
1;4;1;6;2016;4.52402214672957;38.1770815408476
1;4;1;6;2017;4.52402214672957;NA
1;4;1;6;2018;4.52402214672957;NA
1;4;1;6;2019;4.52402214672957;NA
1;4;1;6;2020;4.52402214672957;NA
1;4;1;6;2021;4.52402214672957;NA
1;4;1;7;2015;13.5227335493118;NA
1;4;1;7;2016;13.5227335493118;38.1770815408476
1;4;1;7;2017;13.5227335493118;NA
1;4;1;7;2018;13.5227335493118;NA
1;4;1;7;2019;13.5227335493118;NA
1;4;1;7;2020;13.5227335493118;NA
1;4;1;7;2021;13.5227335493118;NA
1;4;2;1;2015;2.75931794213746;NA
1;4;2;1;2016;2.75931794213746;38.1770815408476
1;4;2;1;2017;2.75931794213746;NA
1;4;2;1;2018;2.75931794213746;NA
1;4;2;1;2019;2.75931794213746;NA
