maakunta;peat_type;year;roll_T
10;7;2015;11.2255555555556
10;7;2016;11.2611111111111
10;7;2017;11.2788888888889
10;7;2018;11.3261111111111
10;7;2019;11.3144444444444
10;7;2020;11.3783333333333
10;7;2021;11.4438888888889
11;1;1990;10.5582494035755
11;1;1991;10.5181648410052
11;1;1992;10.5376551826784
11;1;1993;10.4534043563477
11;1;1994;10.4463967179181
11;1;1995;10.4848348083054
11;1;1996;10.4857125228067
11;1;1997;10.4733208229528
11;1;1998;10.5110020565687
11;1;1999;10.5381974460402
11;1;2000;10.5531938997885
11;1;2001;10.6107825939433
11;1;2002;10.5973777235514
11;1;2003;10.6305454045487
11;1;2004;10.6339369366827
11;1;2005;10.6680557818877
11;1;2006;10.783047716805
11;1;2007;10.8455639097474
11;1;2008;10.85469764375
11;1;2009;10.8620433885878
11;1;2010;10.9054896289519
11;1;2011;10.9645213893825
11;1;2012;11.0076822737715
11;1;2013;11.0525296060108
11;1;2014;11.0626516461296
11;1;2015;11.078294852973
11;1;2016;11.1234526259507
11;1;2017;11.1319314893922
11;1;2018;11.1758694461001
11;1;2019;11.1599168602045
11;1;2020;11.2240150512854
11;1;2021;11.2885115285423
11;2;1990;10.4743338788191
11;2;1991;10.4336589165699
11;2;1992;10.4530123953576
11;2;1993;10.3684778425867
11;2;1994;10.3604098670851
11;2;1995;10.3984095455337
11;2;1996;10.3991384025994
11;2;1997;10.3866503185467
11;2;1998;10.4244937435952
11;2;1999;10.4516197372837
11;2;2000;10.4662653026817
11;2;2001;10.5239601387656
11;2;2002;10.5108503462901
11;2;2003;10.5444895229415
11;2;2004;10.5471968489317
11;2;2005;10.5813308109432
11;2;2006;10.6958024323227
11;2;2007;10.7579384610894
11;2;2008;10.7665916439165
11;2;2009;10.7742027828337
11;2;2010;10.8170387976757
11;2;2011;10.8756578651084
11;2;2012;10.9188562650092
11;2;2013;10.9639737447213
11;2;2014;10.9734898208178
11;2;2015;10.988824299223
11;2;2016;11.033865316635
11;2;2017;11.041297829674
11;2;2018;11.0843507677407
11;2;2019;11.067959318319
11;2;2020;11.1321062930808
11;2;2021;11.1970685484319
11;4;1990;10.4050346734675
11;4;1991;10.3629835803568
11;4;1992;10.3811787380955
11;4;1993;10.2947289312792
11;4;1994;10.2848923284155
11;4;1995;10.3212106102204
11;4;1996;10.3201089232013
11;4;1997;10.306402342768
11;4;1998;10.3432726109089
11;4;1999;10.3680979265142
11;4;2000;10.3808495412453
11;4;2001;10.4366375460136
11;4;2002;10.4211410636287
11;4;2003;10.4543177967311
11;4;2004;10.4554720251493
11;4;2005;10.4892988563551
11;4;2006;10.6019201116984
11;4;2007;10.6626855989382
11;4;2008;10.6696417972133
11;4;2009;10.6760162679241
11;4;2010;10.7184853597975
11;4;2011;10.776811733845
11;4;2012;10.8192375979592
11;4;2013;10.8635489630244
11;4;2014;10.8715216585117
11;4;2015;10.8862143943389
11;4;2016;10.9319004319217
11;4;2017;10.9382590211162
11;4;2018;10.9802909394957
11;4;2019;10.9632348972805
11;4;2020;11.0271226377821
11;4;2021;11.0912167520938
11;6;1990;10.3347042292342
11;6;1991;10.2906385198762
11;6;1992;10.3066045263278
11;6;1993;10.219413815239
11;6;1994;10.2087513573409
11;6;1995;10.2427881717077
11;6;1996;10.2397801024685
11;6;1997;10.2251570305696
11;6;1998;10.2609644028027
11;6;1999;10.2827249707163
11;6;2000;10.2935162923912
11;6;2001;10.3475139175513
11;6;2002;10.3308365646826
11;6;2003;10.3634301910508
11;6;2004;10.3628244454393
11;6;2005;10.3968900448263
11;6;2006;10.5071960751452
11;6;2007;10.5672387950029
11;6;2008;10.5718722429778
11;6;2009;10.5771275973169
11;6;2010;10.6171685103353
11;6;2011;10.6753783966277
11;6;2012;10.7159586070308
11;6;2013;10.7589333725031
11;6;2014;10.7653313420762
11;6;2015;10.7789109103947
11;6;2016;10.8238947116528
11;6;2017;10.8278224186862
11;6;2018;10.8683721019091
11;6;2019;10.8501220187122
11;6;2020;10.9120989943849
11;6;2021;10.9748783773011
11;7;1990;10.7169444444444
11;7;1991;10.6800925925926
11;7;1992;10.7019444444444
11;7;1993;10.6215740740741
11;7;1994;10.6180555555556
11;7;1995;10.660462962963
11;7;1996;10.6640740740741
11;7;1997;10.6536111111111
11;7;1998;10.692962962963
11;7;1999;10.7237037037037
11;7;2000;10.7417592592593
11;7;2001;10.802037037037
11;7;2002;10.7927777777778
11;7;2003;10.8266666666667
11;7;2004;10.8326851851852
11;7;2005;10.865462962963
11;7;2006;10.982962962963
11;7;2007;11.0457407407407
11;7;2008;11.0565740740741
11;7;2009;11.0667592592593
11;7;2010;11.112037037037
11;7;2011;11.1708333333333
11;7;2012;11.2159259259259
11;7;2013;11.2632407407407
11;7;2014;11.2756481481481
11;7;2015;11.2918518518519
11;7;2016;11.3363888888889
11;7;2017;11.3482407407407
11;7;2018;11.3943518518518
11;7;2019;11.3800925925926
11;7;2020;11.4465740740741
11;7;2021;11.5151851851852
12;1;1990;10.5593272851403
12;1;1991;10.527354809977
12;1;1992;10.5550217029693
12;1;1993;10.4693662344547
12;1;1994;10.4607273032267
12;1;1995;10.5067294965388
12;1;1996;10.5045193267272
12;1;1997;10.4883421280082
12;1;1998;10.5288874467915
12;1;1999;10.571203087936
12;1;2000;10.586810607293
12;1;2001;10.6484177947912
12;1;2002;10.6286084143691
12;1;2003;10.6632305856256
12;1;2004;10.6682903897987
12;1;2005;10.6969068426588
12;1;2006;10.8162286831218
12;1;2007;10.8751950638032
12;1;2008;10.893568822717
12;1;2009;10.9032776695284
12;1;2010;10.957749215321
12;1;2011;11.0060091093426
12;1;2012;11.055750734653
12;1;2013;11.0956988535749
12;1;2014;11.1003215707005
12;1;2015;11.1163692287806
12;1;2016;11.1638857509055
12;1;2017;11.172573510375
12;1;2018;11.212080218752
12;1;2019;11.1876380111499
12;1;2020;11.2570314527084
12;1;2021;11.3199933847627
12;2;1990;10.4025823114254
12;2;1991;10.3691261511271
12;2;1992;10.3955834328848
12;2;1993;10.3081094836607
12;2;1994;10.2983193373681
12;2;1995;10.3423155835093
12;2;1996;10.339620103184
12;2;1997;10.3222300323462
12;2;1998;10.3635620446213
12;2;1999;10.4037783480033
12;2;2000;10.4185311685418
12;2;2001;10.4783769570107
12;2;2002;10.4567423911757
12;2;2003;10.4911910651046
12;2;2004;10.4941168383584
12;2;2005;10.5232313873807
12;2;2006;10.6403151227931
12;2;2007;10.6977487786628
12;2;2008;10.714001849704
12;2;2009;10.7231773094761
12;2;2010;10.7771398019021
12;2;2011;10.8254543692295
12;2;2012;10.875067002386
12;2;2013;10.9153002474013
12;2;2014;10.9188132802799
12;2;2015;10.9348547369033
12;2;2016;10.9840879118426
12;2;2017;10.9917353133407
12;2;2018;11.0312335641052
12;2;2019;11.0060056153325
12;2;2020;11.0752402763221
12;2;2021;11.1373059512914
12;4;1990;10.3074779041875
12;4;1991;10.2734699053362
12;4;1992;10.2989265695367
12;4;1993;10.2105398437501
12;4;1994;10.1997012135802
12;4;1995;10.242045574744
12;4;1996;10.2381518489944
12;4;1997;10.2191402798783
12;4;1998;10.2602487447669
12;4;1999;10.2983853642379
12;4;2000;10.3112416720359
12;4;2001;10.3689282833048
12;4;2002;10.3450486627019
12;4;2003;10.3789172950232
12;4;2004;10.3796953584162
12;4;2005;10.4082197687006
12;4;2006;10.5230165896659
12;4;2007;10.578645942278
12;4;2008;10.5927717637576
12;4;2009;10.6011192072396
12;4;2010;10.6541041280448
12;4;2011;10.7014619648811
12;4;2012;10.7499417334198
12;4;2013;10.7891172482419
12;4;2014;10.7905481163144
12;4;2015;10.8054550637471
12;4;2016;10.8548451666025
12;4;2017;10.8604221265934
12;4;2018;10.8981245560861
12;4;2019;10.8710377287568
12;4;2020;10.9394485771686
12;4;2021;11.000549857719
12;6;1990;10.2877359505173
12;6;1991;10.2545314138423
12;6;1992;10.2799220872207
12;6;1993;10.1909750024862
12;6;1994;10.1795855628198
12;6;1995;10.2211334909923
12;6;1996;10.2161839044892
12;6;1997;10.1957345610129
12;6;1998;10.2369921466184
12;6;1999;10.2743860029634
12;6;2000;10.2869055055006
12;6;2001;10.3432105141118
12;6;2002;10.3172925706495
12;6;2003;10.3501628804483
12;6;2004;10.3499381581633
12;6;2005;10.3779285377215
12;6;2006;10.4914189121156
12;6;2007;10.5456156519575
12;6;2008;10.5590083689486
