maakunta;year;peat_type;total_living_litter
11;2015;6;2.33814391279826
11;2015;7;1.48037519625497
11;2016;1;3.31009112256369
11;2016;2;2.65697120940894
11;2016;4;3.37263235273504
11;2016;6;2.33814391279826
11;2016;7;1.48037519625497
11;2017;1;3.31009112256369
11;2017;2;2.65697120940894
11;2017;4;3.37263235273504
11;2017;6;2.33814391279826
11;2017;7;1.48037519625497
11;2018;1;3.31009112256369
11;2018;2;2.65697120940894
11;2018;4;3.37263235273504
11;2018;6;2.33814391279826
11;2018;7;1.48037519625497
11;2019;1;3.31009112256369
11;2019;2;2.65697120940894
11;2019;4;3.37263235273504
11;2019;6;2.33814391279826
11;2019;7;1.48037519625497
11;2020;1;3.31009112256369
11;2020;2;2.65697120940894
11;2020;4;3.37263235273504
11;2020;6;2.33814391279826
11;2020;7;1.48037519625497
11;2021;1;3.31009112256369
11;2021;2;2.65697120940894
11;2021;4;3.37263235273504
11;2021;6;2.33814391279826
11;2021;7;1.48037519625497
12;2015;1;3.37661156997212
12;2015;2;2.80142728235545
12;2015;4;3.40598274664838
12;2015;6;2.2505237550675
12;2015;7;1.45194566565827
12;2016;1;3.37661156997212
12;2016;2;2.80142728235545
12;2016;4;3.40598274664838
12;2016;6;2.2505237550675
12;2016;7;1.45194566565827
12;2017;1;3.37661156997212
12;2017;2;2.80142728235545
12;2017;4;3.40598274664838
12;2017;6;2.2505237550675
12;2017;7;1.45194566565827
12;2018;1;3.37661156997212
12;2018;2;2.80142728235545
12;2018;4;3.40598274664838
12;2018;6;2.2505237550675
12;2018;7;1.45194566565827
12;2019;1;3.37661156997212
12;2019;2;2.80142728235545
12;2019;4;3.40598274664838
12;2019;6;2.2505237550675
12;2019;7;1.45194566565827
12;2020;1;3.37661156997212
12;2020;2;2.80142728235545
12;2020;4;3.40598274664838
12;2020;6;2.2505237550675
12;2020;7;1.45194566565827
12;2021;1;3.37661156997212
12;2021;2;2.80142728235545
12;2021;4;3.40598274664838
12;2021;6;2.2505237550675
12;2021;7;1.45194566565827
13;2015;1;3.64216481167468
13;2015;2;2.83004741104019
13;2015;4;3.53369719193305
13;2015;6;2.26515996863813
13;2015;7;1.52364416675217
13;2016;1;3.64216481167468
13;2016;2;2.83004741104019
13;2016;4;3.53369719193305
13;2016;6;2.26515996863813
13;2016;7;1.52364416675217
13;2017;1;3.64216481167468
13;2017;2;2.83004741104019
13;2017;4;3.53369719193305
13;2017;6;2.26515996863813
13;2017;7;1.52364416675217
13;2018;1;3.64216481167468
13;2018;2;2.83004741104019
13;2018;4;3.53369719193305
13;2018;6;2.26515996863813
13;2018;7;1.52364416675217
13;2019;1;3.64216481167468
13;2019;2;2.83004741104019
13;2019;4;3.53369719193305
13;2019;6;2.26515996863813
13;2019;7;1.52364416675217
13;2020;1;3.64216481167468
13;2020;2;2.83004741104019
13;2020;4;3.53369719193305
13;2020;6;2.26515996863813
13;2020;7;1.52364416675217
13;2021;1;3.64216481167468
13;2021;2;2.83004741104019
13;2021;4;3.53369719193305
13;2021;6;2.26515996863813
13;2021;7;1.52364416675217
14;2015;1;3.59715257726379
14;2015;2;2.82165928731762
14;2015;4;3.47283098219867
14;2015;6;2.33045193569441
14;2015;7;1.51897692187488
14;2016;1;3.59715257726379
14;2016;2;2.82165928731762
14;2016;4;3.47283098219867
14;2016;6;2.33045193569441
14;2016;7;1.51897692187488
14;2017;1;3.59715257726379
14;2017;2;2.82165928731762
14;2017;4;3.47283098219867
14;2017;6;2.33045193569441
14;2017;7;1.51897692187488
14;2018;1;3.59715257726379
14;2018;2;2.82165928731762
14;2018;4;3.47283098219867
14;2018;6;2.33045193569441
14;2018;7;1.51897692187488
14;2019;1;3.59715257726379
14;2019;2;2.82165928731762
14;2019;4;3.47283098219867
14;2019;6;2.33045193569441
14;2019;7;1.51897692187488
14;2020;1;3.59715257726379
14;2020;2;2.82165928731762
14;2020;4;3.47283098219867
14;2020;6;2.33045193569441
14;2020;7;1.51897692187488
14;2021;1;3.59715257726379
14;2021;2;2.82165928731762
14;2021;4;3.47283098219867
14;2021;6;2.33045193569441
14;2021;7;1.51897692187488
15;2015;1;3.6036241167797
15;2015;2;2.90603210230658
15;2015;4;3.67489777170352
15;2015;6;2.30554713558396
15;2015;7;1.3712657076957
15;2016;1;3.6036241167797
15;2016;2;2.90603210230658
15;2016;4;3.67489777170352
15;2016;6;2.30554713558396
15;2016;7;1.3712657076957
15;2017;1;3.6036241167797
15;2017;2;2.90603210230658
15;2017;4;3.67489777170352
15;2017;6;2.30554713558396
15;2017;7;1.3712657076957
15;2018;1;3.6036241167797
15;2018;2;2.90603210230658
15;2018;4;3.67489777170352
15;2018;6;2.30554713558396
15;2018;7;1.3712657076957
15;2019;1;3.6036241167797
15;2019;2;2.90603210230658
15;2019;4;3.67489777170352
15;2019;6;2.30554713558396
15;2019;7;1.3712657076957
15;2020;1;3.6036241167797
15;2020;2;2.90603210230658
15;2020;4;3.67489777170352
15;2020;6;2.30554713558396
15;2020;7;1.3712657076957
15;2021;1;3.6036241167797
15;2021;2;2.90603210230658
15;2021;4;3.67489777170352
15;2021;6;2.30554713558396
15;2021;7;1.3712657076957
16;2015;1;3.94971581277516
16;2015;2;2.91813222357872
16;2015;4;3.55806058688322
16;2015;6;2.25309028515429
16;2015;7;1.33918738240854
16;2016;1;3.94971581277516
16;2016;2;2.91813222357872
16;2016;4;3.55806058688322
16;2016;6;2.25309028515429
16;2016;7;1.33918738240854
16;2017;1;3.94971581277516
16;2017;2;2.91813222357872
16;2017;4;3.55806058688322
16;2017;6;2.25309028515429
16;2017;7;1.33918738240854
16;2018;1;3.94971581277516
16;2018;2;2.91813222357872
16;2018;4;3.55806058688322
16;2018;6;2.25309028515429
16;2018;7;1.33918738240854
16;2019;1;3.94971581277516
16;2019;2;2.91813222357872
16;2019;4;3.55806058688322
16;2019;6;2.25309028515429
16;2019;7;1.33918738240854
16;2020;1;3.94971581277516
16;2020;2;2.91813222357872
16;2020;4;3.55806058688322
16;2020;6;2.25309028515429
16;2020;7;1.33918738240854
16;2021;1;3.94971581277516
16;2021;2;2.91813222357872
16;2021;4;3.55806058688322
16;2021;6;2.25309028515429
16;2021;7;1.33918738240854
17;2015;1;2.4309606536207
17;2015;2;2.34916880666757
17;2015;4;2.56757117237459
17;2015;6;2.02338109826832
17;2015;7;1.26323215261926
17;2016;1;2.4309606536207
17;2016;2;2.34916880666757
17;2016;4;2.56757117237459
17;2016;6;2.02338109826832
17;2016;7;1.26323215261926
17;2017;1;2.4309606536207
17;2017;2;2.34916880666757
17;2017;4;2.56757117237459
17;2017;6;2.02338109826832
17;2017;7;1.26323215261926
17;2018;1;2.4309606536207
17;2018;2;2.34916880666757
17;2018;4;2.56757117237459
17;2018;6;2.02338109826832
17;2018;7;1.26323215261926
17;2019;1;2.4309606536207
17;2019;2;2.34916880666757
17;2019;4;2.56757117237459
17;2019;6;2.02338109826832
17;2019;7;1.26323215261926
17;2020;1;2.4309606536207
17;2020;2;2.34916880666757
17;2020;4;2.56757117237459
17;2020;6;2.02338109826832
17;2020;7;1.26323215261926
17;2021;1;2.4309606536207
17;2021;2;2.34916880666757
17;2021;4;2.56757117237459
17;2021;6;2.02338109826832
17;2021;7;1.26323215261926
18;2015;1;2.68899465800476
18;2015;2;2.32922461388836
18;2015;4;2.67720829500247
18;2015;6;2.05132815094393
18;2015;7;1.20780665645333
18;2016;1;2.68899465800476
18;2016;2;2.32922461388836
18;2016;4;2.67720829500247
18;2016;6;2.05132815094393
18;2016;7;1.20780665645333
18;2017;1;2.68899465800476
18;2017;2;2.32922461388836
18;2017;4;2.67720829500247
18;2017;6;2.05132815094393
18;2017;7;1.20780665645333
18;2018;1;2.68899465800476
18;2018;2;2.32922461388836
18;2018;4;2.67720829500247
18;2018;6;2.05132815094393
18;2018;7;1.20780665645333
18;2019;1;2.68899465800476
18;2019;2;2.32922461388836
18;2019;4;2.67720829500247
18;2019;6;2.05132815094393
18;2019;7;1.20780665645333
18;2020;1;2.68899465800476
18;2020;2;2.32922461388836
18;2020;4;2.67720829500247
18;2020;6;2.05132815094393
18;2020;7;1.20780665645333
18;2021;1;2.68899465800476
18;2021;2;2.32922461388836
18;2021;4;2.67720829500247
18;2021;6;2.05132815094393
18;2021;7;1.20780665645333
19;2015;1;2.48281178925003
19;2015;2;2.27683924200728
19;2015;4;2.64413626363617
19;2015;6;1.9597954805141
19;2015;7;1.2505238526681
19;2016;1;2.48281178925003
19;2016;2;2.27683924200728
19;2016;4;2.64413626363617
19;2016;6;1.9597954805141
19;2016;7;1.2505238526681
19;2017;1;2.48281178925003
19;2017;2;2.27683924200728
19;2017;4;2.64413626363617
19;2017;6;1.9597954805141
