maakunta;peat_type;tree_type;year;basal_area
5;4;deciduous;2021;5.6902710949788
5;6;pine;2015;15.766038787
5;6;pine;2016;15.766038787
5;6;pine;2017;15.766038787
5;6;pine;2018;15.766038787
5;6;pine;2019;15.766038787
5;6;pine;2020;15.766038787
5;6;pine;2021;15.766038787
5;6;spruce;2015;0.0386634356
5;6;spruce;2016;0.0386634356
5;6;spruce;2017;0.0386634356
5;6;spruce;2018;0.0386634356
5;6;spruce;2019;0.0386634356
5;6;spruce;2020;0.0386634356
5;6;spruce;2021;0.0386634356
5;6;deciduous;2015;0.5592736004
5;6;deciduous;2016;0.5592736004
5;6;deciduous;2017;0.5592736004
5;6;deciduous;2018;0.5592736004
5;6;deciduous;2019;0.5592736004
5;6;deciduous;2020;0.5592736004
5;6;deciduous;2021;0.5592736004
5;7;pine;2015;0
5;7;pine;2016;0
5;7;pine;2017;0
5;7;pine;2018;0
5;7;pine;2019;0
5;7;pine;2020;0
5;7;pine;2021;0
5;7;spruce;2015;0
5;7;spruce;2016;0
5;7;spruce;2017;0
5;7;spruce;2018;0
5;7;spruce;2019;0
5;7;spruce;2020;0
5;7;spruce;2021;0
5;7;deciduous;2015;0
5;7;deciduous;2016;0
5;7;deciduous;2017;0
5;7;deciduous;2018;0
5;7;deciduous;2019;0
5;7;deciduous;2020;0
5;7;deciduous;2021;0
6;1;pine;2015;2.6794926128
6;1;pine;2016;2.6794926128
6;1;pine;2017;2.6794926128
6;1;pine;2018;2.6794926128
6;1;pine;2019;2.6794926128
6;1;pine;2020;2.6794926128
6;1;pine;2021;2.6794926128
6;1;spruce;2015;10.693690438
6;1;spruce;2016;10.693690438
6;1;spruce;2017;10.693690438
6;1;spruce;2018;10.693690438
6;1;spruce;2019;10.693690438
6;1;spruce;2020;10.693690438
6;1;spruce;2021;10.693690438
6;1;deciduous;2015;6.315298161
6;1;deciduous;2016;6.315298161
6;1;deciduous;2017;6.315298161
6;1;deciduous;2018;6.315298161
6;1;deciduous;2019;6.315298161
6;1;deciduous;2020;6.315298161
6;1;deciduous;2021;6.315298161
6;2;pine;2015;5.79031031227855
6;2;pine;2016;5.79031031227855
6;2;pine;2017;5.79031031227855
6;2;pine;2018;5.79031031227855
6;2;pine;2019;5.79031031227855
6;2;pine;2020;5.79031031227855
6;2;pine;2021;5.79031031227855
6;2;spruce;2015;9.67471856360302
6;2;spruce;2016;9.67471856360302
6;2;spruce;2017;9.67471856360302
6;2;spruce;2018;9.67471856360302
6;2;spruce;2019;9.67471856360302
6;2;spruce;2020;9.67471856360302
6;2;spruce;2021;9.67471856360302
6;2;deciduous;2015;5.74994403519075
6;2;deciduous;2016;5.74994403519075
6;2;deciduous;2017;5.74994403519075
6;2;deciduous;2018;5.74994403519075
6;2;deciduous;2019;5.74994403519075
6;2;deciduous;2020;5.74994403519075
6;2;deciduous;2021;5.74994403519075
6;4;pine;2015;10.4387374691499
6;4;pine;2016;10.4387374691499
6;4;pine;2017;10.4387374691499
6;4;pine;2018;10.4387374691499
6;4;pine;2019;10.4387374691499
6;4;pine;2020;10.4387374691499
6;4;pine;2021;10.4387374691499
6;4;spruce;2015;2.80096660102444
6;4;spruce;2016;2.80096660102444
6;4;spruce;2017;2.80096660102444
6;4;spruce;2018;2.80096660102444
6;4;spruce;2019;2.80096660102444
6;4;spruce;2020;2.80096660102444
6;4;spruce;2021;2.80096660102444
6;4;deciduous;2015;4.06788141882777
6;4;deciduous;2016;4.06788141882777
6;4;deciduous;2017;4.06788141882777
6;4;deciduous;2018;4.06788141882777
6;4;deciduous;2019;4.06788141882777
6;4;deciduous;2020;4.06788141882777
6;4;deciduous;2021;4.06788141882777
6;6;pine;2015;11.872754878
6;6;pine;2016;11.872754878
6;6;pine;2017;11.872754878
6;6;pine;2018;11.872754878
6;6;pine;2019;11.872754878
6;6;pine;2020;11.872754878
6;6;pine;2021;11.872754878
6;6;spruce;2015;0.5309774994
6;6;spruce;2016;0.5309774994
6;6;spruce;2017;0.5309774994
6;6;spruce;2018;0.5309774994
6;6;spruce;2019;0.5309774994
6;6;spruce;2020;0.5309774994
6;6;spruce;2021;0.5309774994
6;6;deciduous;2015;1.3287358639
6;6;deciduous;2016;1.3287358639
6;6;deciduous;2017;1.3287358639
6;6;deciduous;2018;1.3287358639
6;6;deciduous;2019;1.3287358639
6;6;deciduous;2020;1.3287358639
6;6;deciduous;2021;1.3287358639
6;7;pine;2015;4.4685178863
6;7;pine;2016;4.4685178863
6;7;pine;2017;4.4685178863
6;7;pine;2018;4.4685178863
6;7;pine;2019;4.4685178863
6;7;pine;2020;4.4685178863
6;7;pine;2021;4.4685178863
6;7;spruce;2015;0
6;7;spruce;2016;0
6;7;spruce;2017;0
6;7;spruce;2018;0
6;7;spruce;2019;0
6;7;spruce;2020;0
6;7;spruce;2021;0
6;7;deciduous;2015;1.7207024295
6;7;deciduous;2016;1.7207024295
6;7;deciduous;2017;1.7207024295
6;7;deciduous;2018;1.7207024295
6;7;deciduous;2019;1.7207024295
6;7;deciduous;2020;1.7207024295
6;7;deciduous;2021;1.7207024295
7;1;pine;2015;1.3423367184
7;1;pine;2016;1.3423367184
7;1;pine;2017;1.3423367184
7;1;pine;2018;1.3423367184
7;1;pine;2019;1.3423367184
7;1;pine;2020;1.3423367184
7;1;pine;2021;1.3423367184
7;1;spruce;2015;10.573091648
7;1;spruce;2016;10.573091648
7;1;spruce;2017;10.573091648
7;1;spruce;2018;10.573091648
7;1;spruce;2019;10.573091648
7;1;spruce;2020;10.573091648
7;1;spruce;2021;10.573091648
7;1;deciduous;2015;8.029602226
7;1;deciduous;2016;8.029602226
7;1;deciduous;2017;8.029602226
7;1;deciduous;2018;8.029602226
7;1;deciduous;2019;8.029602226
7;1;deciduous;2020;8.029602226
7;1;deciduous;2021;8.029602226
7;2;pine;2015;2.52213790138924
7;2;pine;2016;2.52213790138924
7;2;pine;2017;2.52213790138924
7;2;pine;2018;2.52213790138924
7;2;pine;2019;2.52213790138924
7;2;pine;2020;2.52213790138924
7;2;pine;2021;2.52213790138924
7;2;spruce;2015;12.1117426059916
7;2;spruce;2016;12.1117426059916
7;2;spruce;2017;12.1117426059916
7;2;spruce;2018;12.1117426059916
7;2;spruce;2019;12.1117426059916
7;2;spruce;2020;12.1117426059916
7;2;spruce;2021;12.1117426059916
7;2;deciduous;2015;6.44974925197063
7;2;deciduous;2016;6.44974925197063
7;2;deciduous;2017;6.44974925197063
7;2;deciduous;2018;6.44974925197063
7;2;deciduous;2019;6.44974925197063
7;2;deciduous;2020;6.44974925197063
7;2;deciduous;2021;6.44974925197063
7;4;pine;2015;13.7507459383739
7;4;pine;2016;13.7507459383739
7;4;pine;2017;13.7507459383739
7;4;pine;2018;13.7507459383739
7;4;pine;2019;13.7507459383739
7;4;pine;2020;13.7507459383739
7;4;pine;2021;13.7507459383739
7;4;spruce;2015;1.66421458572467
7;4;spruce;2016;1.66421458572467
7;4;spruce;2017;1.66421458572467
7;4;spruce;2018;1.66421458572467
7;4;spruce;2019;1.66421458572467
7;4;spruce;2020;1.66421458572467
7;4;spruce;2021;1.66421458572467
7;4;deciduous;2015;5.50079286649949
7;4;deciduous;2016;5.50079286649949
7;4;deciduous;2017;5.50079286649949
7;4;deciduous;2018;5.50079286649949
7;4;deciduous;2019;5.50079286649949
7;4;deciduous;2020;5.50079286649949
7;4;deciduous;2021;5.50079286649949
7;6;pine;2015;14.283135301
7;6;pine;2016;14.283135301
7;6;pine;2017;14.283135301
7;6;pine;2018;14.283135301
7;6;pine;2019;14.283135301
7;6;pine;2020;14.283135301
7;6;pine;2021;14.283135301
7;6;spruce;2015;0.3179450257
7;6;spruce;2016;0.3179450257
7;6;spruce;2017;0.3179450257
7;6;spruce;2018;0.3179450257
7;6;spruce;2019;0.3179450257
7;6;spruce;2020;0.3179450257
7;6;spruce;2021;0.3179450257
7;6;deciduous;2015;0.6511387645
7;6;deciduous;2016;0.6511387645
7;6;deciduous;2017;0.6511387645
7;6;deciduous;2018;0.6511387645
7;6;deciduous;2019;0.6511387645
7;6;deciduous;2020;0.6511387645
7;6;deciduous;2021;0.6511387645
