maakunta;peat_type;year;basal_area
13;1;2020;22.2810144243
13;1;2021;22.2810144243
13;2;2015;20.0804408052472
13;2;2016;20.0804408052472
13;2;2017;20.0804408052472
13;2;2018;20.0804408052472
13;2;2019;20.0804408052472
13;2;2020;20.0804408052472
13;2;2021;20.0804408052472
13;4;2015;18.3092940396546
13;4;2016;18.3092940396546
13;4;2017;18.3092940396546
13;4;2018;18.3092940396546
13;4;2019;18.3092940396546
13;4;2020;18.3092940396546
13;4;2021;18.3092940396546
13;6;2015;12.86917617
13;6;2016;12.86917617
13;6;2017;12.86917617
13;6;2018;12.86917617
13;6;2019;12.86917617
13;6;2020;12.86917617
13;6;2021;12.86917617
13;7;2015;7.4522393407
13;7;2016;7.4522393407
13;7;2017;7.4522393407
13;7;2018;7.4522393407
13;7;2019;7.4522393407
13;7;2020;7.4522393407
13;7;2021;7.4522393407
14;1;2015;19.7524135277
14;1;2016;19.7524135277
14;1;2017;19.7524135277
14;1;2018;19.7524135277
14;1;2019;19.7524135277
14;1;2020;19.7524135277
14;1;2021;19.7524135277
14;2;2015;20.3925815980848
14;2;2016;20.3925815980848
14;2;2017;20.3925815980848
14;2;2018;20.3925815980848
14;2;2019;20.3925815980848
14;2;2020;20.3925815980848
14;2;2021;20.3925815980848
14;4;2015;17.3326751032068
14;4;2016;17.3326751032068
14;4;2017;17.3326751032068
14;4;2018;17.3326751032068
14;4;2019;17.3326751032068
14;4;2020;17.3326751032068
14;4;2021;17.3326751032068
14;6;2015;13.4473691236
14;6;2016;13.4473691236
14;6;2017;13.4473691236
14;6;2018;13.4473691236
14;6;2019;13.4473691236
14;6;2020;13.4473691236
14;6;2021;13.4473691236
14;7;2015;8.5061991338
14;7;2016;8.5061991338
14;7;2017;8.5061991338
14;7;2018;8.5061991338
14;7;2019;8.5061991338
14;7;2020;8.5061991338
14;7;2021;8.5061991338
15;1;2015;23.6681444102
15;1;2016;23.6681444102
15;1;2017;23.6681444102
15;1;2018;23.6681444102
15;1;2019;23.6681444102
15;1;2020;23.6681444102
15;1;2021;23.6681444102
15;2;2015;21.3255189609716
15;2;2016;21.3255189609716
15;2;2017;21.3255189609716
15;2;2018;21.3255189609716
15;2;2019;21.3255189609716
15;2;2020;21.3255189609716
15;2;2021;21.3255189609716
15;4;2015;19.2868528262916
15;4;2016;19.2868528262916
15;4;2017;19.2868528262916
15;4;2018;19.2868528262916
15;4;2019;19.2868528262916
15;4;2020;19.2868528262916
15;4;2021;19.2868528262916
15;6;2015;13.9258428052
15;6;2016;13.9258428052
15;6;2017;13.9258428052
15;6;2018;13.9258428052
15;6;2019;13.9258428052
15;6;2020;13.9258428052
15;6;2021;13.9258428052
15;7;2015;5.2831761132
15;7;2016;5.2831761132
15;7;2017;5.2831761132
15;7;2018;5.2831761132
15;7;2019;5.2831761132
15;7;2020;5.2831761132
15;7;2021;5.2831761132
16;1;2015;24.4164038511
16;1;2016;24.4164038511
16;1;2017;24.4164038511
16;1;2018;24.4164038511
16;1;2019;24.4164038511
16;1;2020;24.4164038511
16;1;2021;24.4164038511
16;2;2015;20.1473275453145
16;2;2016;20.1473275453145
16;2;2017;20.1473275453145
16;2;2018;20.1473275453145
16;2;2019;20.1473275453145
16;2;2020;20.1473275453145
16;2;2021;20.1473275453145
16;4;2015;17.5376381219052
16;4;2016;17.5376381219052
16;4;2017;17.5376381219052
16;4;2018;17.5376381219052
16;4;2019;17.5376381219052
16;4;2020;17.5376381219052
16;4;2021;17.5376381219052
16;6;2015;10.5906428949
16;6;2016;10.5906428949
16;6;2017;10.5906428949
16;6;2018;10.5906428949
16;6;2019;10.5906428949
16;6;2020;10.5906428949
16;6;2021;10.5906428949
16;7;2015;3.8263909253
16;7;2016;3.8263909253
16;7;2017;3.8263909253
16;7;2018;3.8263909253
16;7;2019;3.8263909253
16;7;2020;3.8263909253
16;7;2021;3.8263909253
17;1;2015;15.7843090837
17;1;2016;15.7843090837
17;1;2017;15.7843090837
17;1;2018;15.7843090837
17;1;2019;15.7843090837
17;1;2020;15.7843090837
17;1;2021;15.7843090837
